Entry,Entry name,Gene names,Protein families
Q9P281,BAHC1_HUMAN,BAHCC1 BAHD2 KIAA1447,
Q9UKV3,ACINU_HUMAN,ACIN1 ACINUS KIAA0670,
Q12983,BNIP3_HUMAN,BNIP3 NIP3,NIP3 family
P26439,3BHS2_HUMAN,HSD3B2 HSDB3B,3-beta-HSD family
P31946,1433B_HUMAN,YWHAB,14-3-3 family
P62258,1433E_HUMAN,YWHAE,14-3-3 family
Q9H2F3,3BHS7_HUMAN,HSD3B7,3-beta-HSD family
P27348,1433T_HUMAN,YWHAQ,14-3-3 family
Q5QJU3,ACER2_HUMAN,ACER2 ASAH3L PP11646,Alkaline ceramidase family
Q6PD74,AAGAB_HUMAN,AAGAB,
Q9NUN7,ACER3_HUMAN,ACER3 APHC PHCA,Alkaline ceramidase family
O95972,BMP15_HUMAN,BMP15 GDF9B,TGF-beta family
Q9NSY1,BMP2K_HUMAN,BMP2K BIKE HRIHFB2017,"Protein kinase superfamily, Ser/Thr protein kinase family"
Q9GZZ6,ACH10_HUMAN,CHRNA10 NACHRA10,"Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-10/CHRNA10 sub-subfamily"
Q5TH69,BIG3_HUMAN,ARFGEF3 BIG3 C6orf92 KIAA1244,
Q13131,AAPK1_HUMAN,PRKAA1 AMPK1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily"
Q5VST6,AB17B_HUMAN,ABHD17B C9orf77 FAM108B1 CGI-67,"AB hydrolase superfamily, ABHD17 family"
P28221,5HT1D_HUMAN,HTR1D HTR1DA HTRL,G-protein coupled receptor 1 family
P28222,5HT1B_HUMAN,HTR1B HTR1DB,G-protein coupled receptor 1 family
Q70Z44,5HT3D_HUMAN,HTR3D,"Ligand-gated ion channel (TC 1.A.9) family, 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily, HTR3D sub-subfamily"
P01011,AACT_HUMAN,SERPINA3 AACT GIG24 GIG25,Serpin family
P0DMS8,AA3R_HUMAN,ADORA3,G-protein coupled receptor 1 family
P49902,5NTC_HUMAN,NT5C2 NT5B NT5CP PNT5,5'(3')-deoxyribonucleotidase family
Q9H9L7,AKIR1_HUMAN,AKIRIN1 C1orf108,Akirin family
Q719I0,AHSA2_HUMAN,AHSA2P AHSA2,AHA1 family
P19021,AMD_HUMAN,PAM,Peptidyl-alpha-hydroxyglycine alpha-amidating lyase family; Copper type II ascorbate-dependent monooxygenase family
P35858,ALS_HUMAN,IGFALS ALS,
Q9UKV5,AMFR_HUMAN,AMFR RNF45,
Q99217,AMELX_HUMAN,AMELX AMG AMGX,Amelogenin family
Q86WK7,AMGO3_HUMAN,AMIGO3 ALI3 KIAA1851 UNQ6084/PRO20089,"Immunoglobulin superfamily, AMIGO family"
P84996,ALEX_HUMAN,GNAS GNAS1,ALEX family
Q96QP1,ALPK1_HUMAN,ALPK1 KIAA1527 LAK,"Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily"
P24298,ALAT1_HUMAN,GPT AAT1 GPT1,"Class-I pyridoxal-phosphate-dependent aminotransferase family, Alanine aminotransferase subfamily"
Q9UEY8,ADDG_HUMAN,ADD3 ADDL,"Aldolase class II family, Adducin subfamily"
Q9UKJ8,ADA21_HUMAN,ADAM21,
Q96M93,ADAD1_HUMAN,ADAD1 TENR,ADAD family
Q8NCV1,ADAD2_HUMAN,ADAD2 TENRL,ADAD family
P07311,ACYP1_HUMAN,ACYP1 ACYPE,Acylphosphatase family
O43687,AKA7A_HUMAN,AKAP7 AKAP15 AKAP18,
Q53H64,AK40L_HUMAN,ANKRD40CL C17orf73 LINC00483,
Q9BT30,ALKB7_HUMAN,ALKBH7 ABH7 SPATA11 UNQ6002/PRO34564,AlkB family
Q9Y6Z5,AFDDT_HUMAN,AFDN-DT AFDN-AS1 C6orf124,
Q8N556,AFAP1_HUMAN,AFAP1 AFAP,
P78325,ADAM8_HUMAN,ADAM8 MS2,
P63261,ACTG_HUMAN,ACTG1 ACTG,Actin family
Q8NB90,AFG2H_HUMAN,SPATA5 AFG2 SPAF,"AAA ATPase family, AFG2 subfamily"
Q01718,ACTHR_HUMAN,MC2R ACTHR,G-protein coupled receptor 1 family
Q9Y4W6,AFG32_HUMAN,AFG3L2,AAA ATPase family; Peptidase M41 family
Q9UKU0,ACSL6_HUMAN,ACSL6 ACS2 FACL6 KIAA0837 LACS5,ATP-dependent AMP-binding enzyme family
Q4L235,ACSF4_HUMAN,AASDH ACSF4 U26 HSPC318,ATP-dependent AMP-binding enzyme family
P10109,ADX_HUMAN,FDX1 ADX,Adrenodoxin/putidaredoxin family
P35611,ADDA_HUMAN,ADD1 ADDA,"Aldolase class II family, Adducin subfamily"
Q9ULC5,ACSL5_HUMAN,ACSL5 ACS5 FACL5 UNQ633/PRO1250,ATP-dependent AMP-binding enzyme family
Q9BV10,ALG12_HUMAN,ALG12 PP14673,Glycosyltransferase 22 family
Q8IWK6,AGRA3_HUMAN,ADGRA3 GPR125 UNQ556/PRO1113,"G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily"
O95622,ADCY5_HUMAN,ADCY5,Adenylyl cyclase class-4/guanylyl cyclase family
Q53FZ2,ACSM3_HUMAN,ACSM3 SAH,ATP-dependent AMP-binding enzyme family
P50747,BPL1_HUMAN,HLCS,Biotin--protein ligase family
Q96F25,ALG14_HUMAN,ALG14,ALG14 family
P35612,ADDB_HUMAN,ADD2 ADDB,"Aldolase class II family, Adducin subfamily"
Q8IZF5,AGRF3_HUMAN,ADGRF3 GPR113 PGR23 UNQ9196/PRO34000,"G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily"
Q8IZF7,AGRF2_HUMAN,ADGRF2 GPR111 PGR20,"G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily"
Q5VUJ5,AGAP7_HUMAN,AGAP7P AGAP7 CTGLF4,Centaurin gamma-like family
Q9Y672,ALG6_HUMAN,ALG6 My046,ALG6/ALG8 glucosyltransferase family
P16152,CBR1_HUMAN,CBR1 CBR CRN SDR21C1,Short-chain dehydrogenases/reductases (SDR) family
Q49A88,CCD14_HUMAN,CCDC14,
P15085,CBPA1_HUMAN,CPA1 CPA,Peptidase M14 family
Q9Y2G4,ANKR6_HUMAN,ANKRD6 KIAA0957,
Q8IV38,ANKY2_HUMAN,ANKMY2,
Q9NQW6,ANLN_HUMAN,ANLN,
P36405,ARL3_HUMAN,ARL3 ARFL3,"Small GTPase superfamily, Arf family"
Q8IWT0,ARCH_HUMAN,ZBTB8OS ARCH,Archease family
O15033,AREL1_HUMAN,AREL1 KIAA0317,
P55087,AQP4_HUMAN,AQP4,MIP/aquaporin (TC 1.A.8) family
O14744,ANM5_HUMAN,PRMT5 HRMT1L5 IBP72 JBP1 SKB1,"Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family"
O14520,AQP7_HUMAN,AQP7 AQP7L AQP9,MIP/aquaporin (TC 1.A.8) family
P20851,C4BPB_HUMAN,C4BPB,
Q8N283,ANR35_HUMAN,ANKRD35,
P02649,APOE_HUMAN,APOE,Apolipoprotein A1/A4/E family
Q8IYE0,CC146_HUMAN,CCDC146 KIAA1505,
Q9UNH5,CC14A_HUMAN,CDC14A,"Protein-tyrosine phosphatase family, Non-receptor class CDC14 subfamily"
P18085,ARF4_HUMAN,ARF4 ARF2,"Small GTPase superfamily, Arf family"
Q76M96,CCD80_HUMAN,CCDC80 DRO1 URB HBE245,CCDC80 family
O60729,CC14B_HUMAN,CDC14B,"Protein-tyrosine phosphatase family, Non-receptor class CDC14 subfamily"
A4D256,CC14C_HUMAN,CDC14C CDC14B2 CDC14Bretro,"Protein-tyrosine phosphatase family, Non-receptor class CDC14 subfamily"
Q7Z5L3,C1QL2_HUMAN,C1QL2 CTRP10,
Q494R4,CC153_HUMAN,CCDC153,UPF0610 family
Q8IWF9,CCD83_HUMAN,CCDC83 HSD9,
A6NI56,CC154_HUMAN,CCDC154 C16orf29,
Q5VWW1,C1QL3_HUMAN,C1QL3 CTRP13,
P62330,ARF6_HUMAN,ARF6,"Small GTPase superfamily, Arf family"
Q9H6F5,CCD86_HUMAN,CCDC86 CYCLON,
Q86Y37,CACL1_HUMAN,CACUL1 C10orf46 CAC1,Cullin family
Q9NPY3,C1QR1_HUMAN,CD93 C1QR1 MXRA4,
A6NGH7,CC160_HUMAN,CCDC160,CCDC160 family
Q9NVE4,CCD87_HUMAN,CCDC87,CCDC87 family
Q86YS7,C2CD5_HUMAN,C2CD5 CDP138 KIAA0528,
Q9BZZ5,API5_HUMAN,API5 MIG8,API5 family
Q9Y259,CHKB_HUMAN,CHKB CHETK CHKL,Choline/ethanolamine kinase family
Q92974,ARHG2_HUMAN,ARHGEF2 KIAA0651 LFP40,
P63010,AP2B1_HUMAN,AP2B1 ADTB2 CLAPB1,Adaptor complexes large subunit family
P15391,CD19_HUMAN,CD19,
Q9Y6K0,CEPT1_HUMAN,CEPT1 PRO1101,CDP-alcohol phosphatidyltransferase class-I family
Q00532,CDKL1_HUMAN,CDKL1,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily"
O14617,AP3D1_HUMAN,AP3D1 PRO0039,Adaptor complexes large subunit family
P28906,CD34_HUMAN,CD34,CD34 family
P16671,CD36_HUMAN,CD36 GP3B GP4,CD36 family
Q8IZ07,AN13A_HUMAN,ANKRD13A ANKRD13,
Q16880,CGT_HUMAN,UGT8 CGT UGT4,UDP-glycosyltransferase family
Q9Y6A4,CFA20_HUMAN,CFAP20 BUG22 C16orf80 GTL3,CFAP20 family
Q400G9,AMZ1_HUMAN,AMZ1 KIAA1950,Peptidase M54 family
Q69YU3,AN34A_HUMAN,ANKRD34A ANKRD34,ANKRD34 family
A5PLL1,AN34B_HUMAN,ANKRD34B,ANKRD34 family
O14727,APAF_HUMAN,APAF1 KIAA0413,
P56377,AP1S2_HUMAN,AP1S2 DC22,Adaptor complexes small subunit family
Q8N6M6,AMPO_HUMAN,AOPEP C9orf3 ONPEP,Peptidase M1 family
Q96K21,ANCHR_HUMAN,ZFYVE19 ANCHR MPFYVE,
Q8TF21,ANR24_HUMAN,ANKRD24 KIAA1981,
Q6AI12,ANR40_HUMAN,ANKRD40,
Q96LR9,APLD1_HUMAN,APOLD1 VERGE,Apolipoprotein L family
P08133,ANXA6_HUMAN,ANXA6 ANX6,Annexin family
Q96NW4,ANR27_HUMAN,ANKRD27 PP12899,
O14791,APOL1_HUMAN,APOL1 APOL,Apolipoprotein L family
P23582,ANFC_HUMAN,NPPC CNP2,Natriuretic peptide family
Q9UKU9,ANGL2_HUMAN,ANGPTL2 ARP2 UNQ170/PRO196,
Q6IPU0,CENPP_HUMAN,CENPP,CENP-P/CTF19 family
Q5K130,CLU1O_HUMAN,CLLU1-AS1 CLLU1OS,
Q9H1Y0,ATG5_HUMAN,ATG5 APG5L ASP,ATG5 family
P11245,ARY2_HUMAN,NAT2 AAC2,Arylamine N-acetyltransferase family
P0C7U1,ASA2B_HUMAN,ASAH2B ASAH2C ASAH2L,Neutral ceramidase family
Q9NR71,ASAH2_HUMAN,ASAH2 HNAC1,Neutral ceramidase family
O94817,ATG12_HUMAN,ATG12 APG12 APG12L,ATG12 family
O43150,ASAP2_HUMAN,ASAP2 DDEF2 KIAA0400,
Q96DT6,ATG4C_HUMAN,ATG4C APG4C AUTL1 AUTL3,Peptidase C54 family
Q3KR37,ASTRB_HUMAN,GRAMD1B KIAA1201 UNQ3032/PRO9834,
Q76L83,ASXL2_HUMAN,ASXL2 ASXH2 KIAA1685,Asx family
Q8WXK4,ASB12_HUMAN,ASB12,Ankyrin SOCS box (ASB) family
O60312,AT10A_HUMAN,ATP10A ATP10C ATPVA ATPVC KIAA0566,"Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily"
Q9NWX5,ASB6_HUMAN,ASB6,Ankyrin SOCS box (ASB) family
Q9Y575,ASB3_HUMAN,ASB3,Ankyrin SOCS box (ASB) family
Q86WG3,ATCAY_HUMAN,ATCAY KIAA1872,
Q4VNC0,AT135_HUMAN,ATP13A5 UNQ488/PRO1004,"Cation transport ATPase (P-type) (TC 3.A.3) family, Type V subfamily"
Q9H1I8,ASCC2_HUMAN,ASCC2 ASC1P100 RQT3,ASCC2 family
Q9H7F0,AT133_HUMAN,ATP13A3 AFURS1,"Cation transport ATPase (P-type) (TC 3.A.3) family, Type V subfamily"
Q8N1G2,CMTR1_HUMAN,CMTR1 FTSJD2 KIAA0082 MTR1,
P05026,AT1B1_HUMAN,ATP1B1 ATP1B,X(+)/potassium ATPases subunit beta family
Q7L266,ASGL1_HUMAN,ASRGL1 ALP CRASH,Ntn-hydrolase family
Q9UHC3,ASIC3_HUMAN,ASIC3 ACCN3 SLNAC1 TNAC1,"Amiloride-sensitive sodium channel (TC 1.A.6) family, ASIC3 subfamily"
Q96M20,CNBD2_HUMAN,CNBD2 C20orf152,
P32121,ARRB2_HUMAN,ARRB2 ARB2 ARR2,Arrestin family
Q8N8G6,CO054_HUMAN,LINC02915 C15orf54,
A6NEK1,ARRD5_HUMAN,ARRDC5,Arrestin family
Q9UKP4,ATS7_HUMAN,ADAMTS7,
Q9P1U1,ARP3B_HUMAN,ACTR3B ARP11 ARP4,"Actin family, ARP3 subfamily"
Q8N6F1,CLD19_HUMAN,CLDN19,Claudin family
Q8WXS8,ATS14_HUMAN,ADAMTS14,
P51793,CLCN4_HUMAN,CLCN4,"Chloride channel (TC 2.A.49) family, ClC-4/CLCN4 subfamily"
Q8IXQ3,CI040_HUMAN,C9orf40,
Q8IZ96,CKLF1_HUMAN,CMTM1 CKLFSF1,Chemokine-like factor family
Q5TC12,ATPF1_HUMAN,ATPAF1 ATP11,ATP11 family
Q96MX0,CKLF3_HUMAN,CMTM3 CKLFSF3,Chemokine-like factor family
O15072,ATS3_HUMAN,ADAMTS3 KIAA0366,
Q8IZV2,CKLF8_HUMAN,CMTM8 CKLFSF8,Chemokine-like factor family
Q5T035,CI129_HUMAN,C9orf129,
O75173,ATS4_HUMAN,ADAMTS4 KIAA0688 UNQ769/PRO1563,
Q9UBR5,CKLF_HUMAN,CKLF CKLF1 HSPC224 UNQ410/PRO772,Chemokine-like factor family
P02458,CO2A1_HUMAN,COL2A1,Fibrillar collagen family
Q5VTT2,CI135_HUMAN,C9orf135,
Q86X95,CIR1_HUMAN,CIR1 CIR,
P29400,CO4A5_HUMAN,COL4A5,Type IV collagen family
Q9UNA0,ATS5_HUMAN,ADAMTS5 ADAMTS11 ADMP2,
Q96Q77,CIB3_HUMAN,CIB3 KIP3,
Q14031,CO4A6_HUMAN,COL4A6,Type IV collagen family
A0PJX0,CIB4_HUMAN,CIB4,
Q9UP79,ATS8_HUMAN,ADAMTS8 METH2,
Q6ZS10,CL17A_HUMAN,CLEC17A,
Q9Y3Y2,CHTOP_HUMAN,CHTOP C1orf77 FOP HT031 PP7704,
O00299,CLIC1_HUMAN,CLIC1 G6 NCC27,Chloride channel CLIC family
A5D8T8,CL18A_HUMAN,CLEC18A MRLP2,
Q6UXF7,CL18B_HUMAN,CLEC18B MRLP1 UNQ306/PRO347,
Q9P2N4,ATS9_HUMAN,ADAMTS9 KIAA1312,
Q8NCF0,CL18C_HUMAN,CLEC18C MRLP3,
P20908,CO5A1_HUMAN,COL5A1,Fibrillar collagen family
Q96RK0,CIC_HUMAN,CIC KIAA0306,
Q6UXS0,CL19A_HUMAN,CLEC19A UNQ5810/PRO19627,
P12111,CO6A3_HUMAN,COL6A3,Type VI collagen family
Q86WW8,COA5_HUMAN,COA5 C2orf64,PET191 family
Q6JBY9,CPZIP_HUMAN,RCSD1 CAPZIP,
Q8WWM7,ATX2L_HUMAN,ATXN2L A2D A2LG A2LP A2RP,Ataxin-2 family
Q6ZR85,CQ107_HUMAN,C17orf107,
Q96MF6,CQ10A_HUMAN,COQ10A UNQ6192/PRO20219,COQ10 family
Q9Y6Z7,COL10_HUMAN,COLEC10 CLL1 UNQ366/PRO702,COLEC10/COLEC11 family
P11712,CP2C9_HUMAN,CYP2C9 CYP2C10,Cytochrome P450 family
Q9BZP3,CR002_HUMAN,LINC00470 C18orf2,
Q96N68,CR015_HUMAN,C18orf15,
Q9BWP8,COL11_HUMAN,COLEC11 UNQ596/PRO1182,COLEC10/COLEC11 family
Q7KZN9,COX15_HUMAN,COX15,COX15/CtaA family
O94886,CSCL1_HUMAN,TMEM63A KIAA0489 KIAA0792,CSC1 (TC 1.A.17) family
Q6ZS62,COLC1_HUMAN,COLCA1 C11orf92,
Q6ZST2,COLDT_HUMAN,COL25A1-DT ZCCHC23,
P24903,CP2F1_HUMAN,CYP2F1,Cytochrome P450 family
P01189,COLI_HUMAN,POMC,POMC family
Q7Z449,CP2U1_HUMAN,CYP2U1,Cytochrome P450 family
O43405,COCH_HUMAN,COCH COCH5B2 UNQ257/PRO294,
Q96BA8,CR3L1_HUMAN,CREB3L1 OASIS PSEC0238,"BZIP family, ATF subfamily"
Q9BZB8,CPEB1_HUMAN,CPEB1 CPEB,RRM CPEB family
P53673,CRBA4_HUMAN,CRYBA4,Beta/gamma-crystallin family
Q9Y215,COLQ_HUMAN,COLQ,COLQ family
Q5TAT6,CODA1_HUMAN,COL13A1,
Q7Z5Q1,CPEB2_HUMAN,CPEB2,RRM CPEB family
P53674,CRBB1_HUMAN,CRYBB1,Beta/gamma-crystallin family
Q70SY1,CR3L2_HUMAN,CREB3L2 BBF2H7,"BZIP family, ATF subfamily"
Q8NE35,CPEB3_HUMAN,CPEB3 KIAA0940,RRM CPEB family
P43320,CRBB2_HUMAN,CRYBB2 CRYB2 CRYB2A,Beta/gamma-crystallin family
Q17RY0,CPEB4_HUMAN,CPEB4 KIAA1673,RRM CPEB family
Q68CJ9,CR3L3_HUMAN,CREB3L3 CREBH HYST1481,"BZIP family, ATF subfamily"
Q9NYL5,CP39A_HUMAN,CYP39A1,Cytochrome P450 family
P00395,COX1_HUMAN,MT-CO1 COI COXI MTCO1,Heme-copper respiratory oxidase family
P07333,CSF1R_HUMAN,CSF1R FMS,"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily"
Q9NQ79,CRAC1_HUMAN,CRTAC1 ASPIC1 CEP68,
P04141,CSF2_HUMAN,CSF2 GMCSF,GM-CSF family
O75366,AVIL_HUMAN,AVIL,Villin/gelsolin family
P48047,ATPO_HUMAN,ATP5PO ATP5O ATPO,ATPase delta chain family
Q13705,AVR2B_HUMAN,ACVR2B,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"
Q9Y679,AUP1_HUMAN,AUP1,AUP1 family
P56385,ATP5I_HUMAN,ATP5ME ATP5I ATP5K,ATPase e subunit family
Q99766,ATP5S_HUMAN,DMAC2L ATP5S ATPW,ATP synthase subunit s family
O43174,CP26A_HUMAN,CYP26A1 CYP26 P450RAI1,Cytochrome P450 family
A6NCJ1,CS071_HUMAN,C19orf71,
Q96KJ9,COX42_HUMAN,COX4I2 COX4L2,Cytochrome c oxidase IV family
Q6QNY1,BL1S2_HUMAN,BLOC1S2 BLOS2 CEAP,BLOC1S2 family
Q8WXE0,CSKI2_HUMAN,CASKIN2 KIAA1139,
P61769,B2MG_HUMAN,B2M CDABP0092 HDCMA22P,Beta-2-microglobulin family
P31146,COR1A_HUMAN,CORO1A CORO1,WD repeat coronin family
Q8WXF5,CRGN_HUMAN,CRYGN,Beta/gamma-crystallin family
Q9ULV4,COR1C_HUMAN,CORO1C CRN2 CRNN4,WD repeat coronin family
Q6NV74,CRCDL_HUMAN,CRACDL C2orf55 KIAA1211L,
P10176,COX8A_HUMAN,COX8A COX8 COX8L,Cytochrome c oxidase VIII family
Q9C0J1,B3GN4_HUMAN,B3GNT4 UNQ1898/PRO4344,Glycosyltransferase 31 family
Q5XKL5,BTBD8_HUMAN,BTBD8,
Q9Y2F9,BTBD3_HUMAN,BTBD3 KIAA0952,
Q9Y2C3,B3GT5_HUMAN,B3GALT5,Glycosyltransferase 31 family
P20290,BTF3_HUMAN,BTF3 NACB OK/SW-cl.8,NAC-beta family
Q16520,BATF_HUMAN,BATF,BZIP family
Q5H9J7,BEX5_HUMAN,BEX5 NADE2 NGFRAP1L1,BEX family
Q99708,CTIP_HUMAN,RBBP8 CTIP,COM1/SAE2/CtIP family
Q9UIG0,BAZ1B_HUMAN,BAZ1B WBSC10 WBSCR10 WBSCR9 WSTF,"WAL family, BAZ1B subfamily"
Q99933,BAG1_HUMAN,BAG1 HAP,
Q8IWQ3,BRSK2_HUMAN,BRSK2 C11orf7 PEN11B SADA STK29 HUSSY-12,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily"
Q13075,BIRC1_HUMAN,NAIP BIRC1,
Q13072,BAGE1_HUMAN,BAGE BAGE1,BAGE family
Q86Y30,BAGE2_HUMAN,BAGE2,BAGE family
Q9BPU9,B9D2_HUMAN,B9D2 MKSR2,B9D family
P51813,BMX_HUMAN,BMX,"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily"
Q8WXS3,BAALC_HUMAN,BAALC,
Q01954,BNC1_HUMAN,BNC1 BNC,
Q6UX04,CWC27_HUMAN,CWC27 SDCCAG10 UNQ438/PRO871,Cyclophilin-type PPIase family
Q9BWK5,CYREN_HUMAN,CYREN C7orf49 MRI,
Q9P0U4,CXXC1_HUMAN,CXXC1 CFP1 CGBP PCCX1 PHF18,
Q13829,BACD2_HUMAN,TNFAIP1 BACURD2 EDP1,BACURD family
Q16611,BAK_HUMAN,BAK1 BAK BCL2L7 CDN1,Bcl-2 family
Q96G97,BSCL2_HUMAN,BSCL2,Seipin family
Q6UXY1,BI2L2_HUMAN,BAIAP2L2 UNQ9336/PRO34007,
O75936,BODG_HUMAN,BBOX1 BBH BBOX,Gamma-BBH/TMLD family
Q14457,BECN1_HUMAN,BECN1 GT197,Beclin family
Q13145,BAMBI_HUMAN,BAMBI NMA,BAMBI family
Q8WYA1,BMAL2_HUMAN,ARNTL2 BHLHE6 BMAL2 CLIF MOP9 PASD9,
Q8TD16,BICD2_HUMAN,BICD2 KIAA0699,BicD family
A6NGU7,CX028_HUMAN,LINC01546 CXorf28,
P00167,CYB5_HUMAN,CYB5A CYB5,Cytochrome b5 family
Q53S33,BOLA3_HUMAN,BOLA3,BolA/IbaG family
Q8N9T2,CX042_HUMAN,NKAPP1 CXorf42,
Q7L3V2,BOP_HUMAN,RTL10 BOP C22orf29,
Q9H503,BAFL_HUMAN,BANF2 BAFL C20orf179,BAF family
Q6ZU67,BEND4_HUMAN,BEND4 CCDC4,
Q96NH3,BROMI_HUMAN,TBC1D32 BROMI C6orf170 C6orf171,
A8MVZ5,BTNLA_HUMAN,BTNL10,"Immunoglobulin superfamily, BTN/MOG family"
Q8NFJ8,BHE22_HUMAN,BHLHE22 BHLHB5 TNRC20,
Q7RTS1,BHA15_HUMAN,BHLHA15 BHLHB8 MIST1,
Q6ZT62,BGIN_HUMAN,BARGIN,
P14091,CATE_HUMAN,CTSE,Peptidase A1 family
Q5T5A4,CA194_HUMAN,C1orf194,
A0A0U1RR37,CA232_HUMAN,C1orf232,
Q8NFJ9,BBS1_HUMAN,BBS1 BBS2L2,
Q13939,CALI_HUMAN,CCIN,
Q5TID7,CC181_HUMAN,CCDC181 C1orf114,CCDC181 family
O75493,CAH11_HUMAN,CA11 CARP2 UNQ211/PRO237,Alpha-carbonic anhydrase family
P0C221,CC175_HUMAN,CCDC175 C14orf38,
P54687,BCAT1_HUMAN,BCAT1 BCT1 ECA39,Class-IV pyridoxal-phosphate-dependent aminotransferase family
Q52MB2,CC184_HUMAN,CCDC184 C12orf68,
Q5VZK9,CARL1_HUMAN,CARMIL1 CARMIL LRRC16 LRRC16A,CARMIL family
H7C350,CC188_HUMAN,CCDC188,
P60022,DEFB1_HUMAN,DEFB1 BD1 HBD1,Beta-defensin family
P56202,CATW_HUMAN,CTSW,Peptidase C1 family
A0A1B0GTZ2,CC196_HUMAN,CCDC196 C14orf53 LINC00238 NCRNA00238,
Q8NCU1,CC197_HUMAN,CCDC197 C14orf48 LINC00521,
Q9NVL8,CC198_HUMAN,CCDC198 C14orf105,
A0A1B0GVQ3,CC200_HUMAN,CCDC200,
A6NH13,DAS1_HUMAN,DNAJC9-AS1 C10orf103,
Q13561,DCTN2_HUMAN,DCTN2 DCTN50,Dynactin subunit 2 family
P81605,DCD_HUMAN,DCD AIDD DSEP,
O75935,DCTN3_HUMAN,DCTN3 DCTN22,Dynactin subunit 3 family
Q9UJW0,DCTN4_HUMAN,DCTN4,Dynactin subunit 4 family
Q9BTE1,DCTN5_HUMAN,DCTN5,"Dynactin subunits 5/6 family, Dynactin subunit 5 subfamily"
Q03135,CAV1_HUMAN,CAV1 CAV,Caveolin family
Q96PX6,CC85A_HUMAN,CCDC85A KIAA1912,CCDC85 family
O00399,DCTN6_HUMAN,DCTN6 WS3,"Dynactin subunits 5/6 family, Dynactin subunit 6 subfamily"
Q9H773,DCTP1_HUMAN,DCTPP1 XTP3TPA CDA03,
Q9H4E7,DEFI6_HUMAN,DEF6 IBP,
Q08AD1,CAMP2_HUMAN,CAMSAP2 CAMSAP1L1 KIAA1078,CAMSAP1 family
P47756,CAPZB_HUMAN,CAPZB,F-actin-capping protein beta subunit family
Q6ZN54,DEFI8_HUMAN,DEF8,DEF8 family
Q8N136,DAW1_HUMAN,DAW1 WDR69,WD repeat WDR69 family
Q14790,CASP8_HUMAN,CASP8 MCH5,Peptidase C14A family
Q9UKL3,C8AP2_HUMAN,CASP8AP2 FLASH KIAA1315 RIP25,
O15234,CASC3_HUMAN,CASC3 MLN51,CASC3 family
Q13948,CASP_HUMAN,CUX1 CUTL1,CASP family
Q5BKX8,CAVN4_HUMAN,CAVIN4 MURC,CAVIN family
Q9UER7,DAXX_HUMAN,DAXX BING2 DAP6,DAXX family
Q9NQZ3,DAZ1_HUMAN,DAZ1 DAZ SPGY,RRM DAZ family
Q13117,DAZ2_HUMAN,DAZ2,RRM DAZ family
Q9HBH1,DEFM_HUMAN,PDF PDF1A,Polypeptide deformylase family
Q9NR90,DAZ3_HUMAN,DAZ3,RRM DAZ family
Q86SG3,DAZ4_HUMAN,DAZ4,RRM DAZ family
Q92904,DAZL_HUMAN,DAZL DAZH DAZL1 DAZLA SPGYLA,RRM DAZ family
Q96EP5,DAZP1_HUMAN,DAZAP1,
Q15038,DAZP2_HUMAN,DAZAP2 KIAA0058,
Q9NUI1,DECR2_HUMAN,DECR2 PDCR SDR17C1,"Short-chain dehydrogenases/reductases (SDR) family, 2,4-dienoyl-CoA reductase subfamily"
A8MXU0,DB108_HUMAN,DEFB108A DEFB108P1; DEFB108C DEFB108P2,Beta-defensin family
Q30KR1,DB109_HUMAN,DEFB109B DEFB109P1B,Beta-defensin family
Q30KQ9,DB110_HUMAN,DEFB110 DEFB10 DEFB11 DEFB111,Beta-defensin family
Q30KQ8,DB112_HUMAN,DEFB112 DEFB12,Beta-defensin family
P35659,DEK_HUMAN,DEK,
Q30KQ7,DB113_HUMAN,DEFB113 DEFB13,Beta-defensin family
Q30KQ6,DB114_HUMAN,DEFB114 DEFB14,Beta-defensin family
Q30KQ5,DB115_HUMAN,DEFB115 DEFB15,Beta-defensin family
Q08345,DDR1_HUMAN,DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE,"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily"
Q30KQ4,DB116_HUMAN,DEFB116 DEFB16,Beta-defensin family
Q5D0E6,DALD3_HUMAN,DALRD3,
